Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
B1 LM,NOLAN,2925.5,26.438,0.992,1.619,4.192,5.156,2,0.7,8
B1 LM,NOLAN,2926,28.031,0.971,1.547,4.459,5.051,2,0.65,8
B1 LM,NOLAN,2926.5,28.875,0.944,0.892,4.723,5.047,2,0.6,8
B1 LM,NOLAN,2927,33.031,0.928,0.322,5.977,4.406,2,0.55,8
B1 LM,NOLAN,2927.5,34.469,0.919,1.558,6.645,3.904,2,0.5,8
B1 LM,NOLAN,2928,36.875,0.92,2.585,6.643,3.609,2,0.45,5
B1 LM,NOLAN,2928.5,38.688,0.933,1.968,6.138,3.785,2,0.4,5
B1 LM,NOLAN,2929,42.625,0.941,0.845,5.014,4.312,2,0.35,5
B1 LM,NOLAN,2929.5,42.031,0.938,0.339,3.713,4.598,2,0.3,5
B1 LM,NOLAN,2930,37.5,0.929,0.3,2.873,4.875,2,0.25,6
B1 LM,NOLAN,2930.5,33.281,0.919,0.546,2.774,4.141,2,0.2,6
B1 LM,NOLAN,2931,38.594,0.893,0.7,3.841,3.826,2,0.15,8
B1 LM,NOLAN,2931.5,52.688,0.847,0.82,4.99,3.291,2,0.1,8
B2 SH,NOLAN,2932,63.938,0.782,1.615,6.93,3.393,2,0.05,2
B2 SH,NOLAN,2932.5,74,0.721,3.299,9.299,3.18,1,1,2
B2 SH,NOLAN,2933,79.813,0.676,4.893,12.49,3.08,1,0.955,2
B2 SH,NOLAN,2933.5,91.25,0.653,6.112,15.422,2.992,1,0.909,2
B2 SH,NOLAN,2934,98.25,0.643,5.027,15.822,3.082,1,0.864,2
B2 SH,NOLAN,2934.5,98.625,0.623,3.709,13.82,3.443,1,0.818,2
B2 SH,NOLAN,2935,86.5,0.594,2.686,10.4,3.684,1,0.773,2
B2 SH,NOLAN,2935.5,77.313,0.567,2.959,8.614,3.77,1,0.727,2
B2 SH,NOLAN,2936,71.938,0.546,4.279,8.905,3.754,1,0.682,3
B2 SH,NOLAN,2936.5,75.75,0.535,5.234,12.491,3.598,1,0.636,3
B2 SH,NOLAN,2937,83.563,0.535,6.867,17.206,3.342,1,0.591,3
B2 SH,NOLAN,2937.5,93.813,0.539,7.596,20.333,3.08,1,0.545,3
B2 SH,NOLAN,2938,99.5,0.538,7.613,18.754,3.023,1,0.5,3
B2 SH,NOLAN,2938.5,90.813,0.532,5.035,16.059,3.1,1,0.455,3
B2 SH,NOLAN,2939,79.813,0.534,4.116,13.315,3.309,1,0.409,3
B2 SH,NOLAN,2939.5,73.313,0.535,3.499,12.809,3.316,1,0.364,2
B2 SH,NOLAN,2940,67.625,0.547,3.858,10.888,3.494,1,0.318,1
B2 SH,NOLAN,2940.5,68.063,0.576,3.046,9.502,3.527,1,0.273,1
B2 SH,NOLAN,2941,67.625,0.597,2.454,8.337,3.574,1,0.227,1
B2 SH,NOLAN,2941.5,73.688,0.597,3.569,9.908,3.209,1,0.182,1
B2 SH,NOLAN,2942,79.5,0.625,2.096,20.658,2.682,1,0.136,3
B2 SH,NOLAN,2942.5,82.5,0.658,-0.258,26.186,2.498,1,0.091,3
B2 SH,NOLAN,2943,78.75,0.66,-3.639,26.344,2.648,1,0.045,3
B2 SH,NOLAN,2943.5,60.25,0.651,-5.054,17.847,4.438,2,1,3
B2 LM,NOLAN,2944,37.125,0.64,-1.233,11.731,5.324,2,0.958,8
B2 LM,NOLAN,2944.5,20.75,0.624,2.222,9.936,5.52,2,0.917,8
B2 LM,NOLAN,2945,14.414,0.657,1.528,11.411,5.152,2,0.875,8
B2 LM,NOLAN,2945.5,14.117,0.721,-0.348,12.506,5.023,2,0.833,8
B2 LM,NOLAN,2946,15.938,0.76,-0.907,10.917,4.644,2,0.792,8
B2 LM,NOLAN,2946.5,16.797,0.779,-0.693,9.19,5.152,2,0.75,8
B2 LM,NOLAN,2947,18.25,0.795,0.198,7.566,4.918,2,0.708,8
B2 LM,NOLAN,2947.5,18.813,0.799,0.198,7.566,4.918,2,0.667,8
B2 LM,NOLAN,2948,22.641,0.802,1.626,6.48,4.731,2,0.625,8
B2 LM,NOLAN,2948.5,28.969,0.808,3.541,5.541,4.059,2,0.583,8
B2 LM,NOLAN,2949,30.5,0.813,4.486,4.889,4.16,2,0.542,8
B2 LM,NOLAN,2949.5,28.75,0.816,3.868,5.067,4.394,2,0.5,8
B2 LM,NOLAN,2950,23.406,0.822,2.603,6.088,4.926,2,0.458,8
B2 LM,NOLAN,2950.5,20.359,0.828,1.714,6.685,5.144,2,0.417,8
B2 LM,NOLAN,2951,16.828,0.84,1.235,6.089,5.406,2,0.375,8
B2 LM,NOLAN,2951.5,19.484,0.854,1.365,4.739,5.324,2,0.333,8
B2 LM,NOLAN,2952,23.141,0.873,1.311,3.767,5.41,2,0.292,6
B2 LM,NOLAN,2952.5,26.719,0.898,-0.026,4.372,4.977,2,0.25,6
B2 LM,NOLAN,2953,26.688,0.907,-0.705,4.611,5.129,2,0.208,6
B2 LM,NOLAN,2953.5,25.75,0.882,-0.482,4.144,5.184,2,0.167,6
B2 LM,NOLAN,2954,32.906,0.839,0.03,3.632,5.223,2,0.125,8
B3 SH,NOLAN,2954.5,55.469,0.795,1.023,4.397,4.762,2,0.083,3
B3 SH,NOLAN,2955,81.375,0.741,2.505,6.675,4.004,2,0.042,3
B3 SH,NOLAN,2955.5,98.563,0.688,4.586,10.013,3.711,1,1,2
B3 SH,NOLAN,2956,102.375,0.643,5.74,12.424,3.527,1,0.962,2
B3 SH,NOLAN,2956.5,102.188,0.601,6.552,13.809,3.486,1,0.923,2
B3 SH,NOLAN,2957,101.25,0.577,5.038,13.663,2.959,1,0.885,2
B3 SH,NOLAN,2957.5,102.875,0.572,3.579,13.462,2.713,1,0.846,2
B3 SH,NOLAN,2958,103.25,0.572,2.959,13.643,2.947,1,0.808,2
B3 SH,NOLAN,2958.5,100.688,0.577,2.847,12.73,3.074,1,0.769,2
B3 SH,NOLAN,2959,95.063,0.59,2.977,12.404,3.424,1,0.731,2
B3 SH,NOLAN,2959.5,89,0.607,3.223,11.621,3.369,1,0.692,2
B3 SH,NOLAN,2960,89.125,0.624,2.792,11.417,3.596,1,0.654,2
B3 SH,NOLAN,2960.5,83.063,0.642,2.1,10.498,3.648,1,0.615,2
B3 SH,NOLAN,2961,76.563,0.652,1.783,10.18,3.51,1,0.577,2
B3 SH,NOLAN,2961.5,73.25,0.654,1.856,10.254,3.242,1,0.538,2
B3 SH,NOLAN,2962,79.438,0.655,2.849,11.018,3.176,1,0.5,2
B3 SH,NOLAN,2962.5,89,0.653,3.64,11.692,3.17,1,0.462,2
B3 SH,NOLAN,2963,85.5,0.641,3.638,12.036,3.131,1,0.423,2
B3 SH,NOLAN,2963.5,80.5,0.616,3.192,11.701,3.123,1,0.385,2
B3 SH,NOLAN,2964,73.375,0.584,3.028,11.425,3.065,1,0.346,2
B3 SH,NOLAN,2964.5,74.75,0.546,3.842,11.783,2.984,1,0.308,2
B3 SH,NOLAN,2965,69.063,0.513,4.388,12.897,2.895,1,0.269,2
B3 SH,NOLAN,2965.5,68.375,0.489,5.143,13.997,2.889,1,0.231,2
B3 SH,NOLAN,2966,68.313,0.473,4.295,14.406,3.09,1,0.192,2
B3 SH,NOLAN,2966.5,76.813,0.462,5.523,17.231,3.201,1,0.154,2
B3 SH,NOLAN,2967,89.875,0.467,6.978,20.171,3.08,1,0.115,2
B3 SH,NOLAN,2967.5,92.75,0.471,8.101,20.61,3.143,1,0.077,3
B3 SH,NOLAN,2968,84.875,0.467,5.888,17.256,3.512,1,0.038,3
B3 LM,NOLAN,2968.5,58.375,0.462,3.841,13.151,4.285,2,1,5
B3 LM,NOLAN,2969,37.969,0.467,3.483,12.337,4.543,2,0.917,5
B3 LM,NOLAN,2969.5,21.266,0.48,3.206,13.2,4.551,2,0.833,8
B3 LM,NOLAN,2970,17.641,0.513,1.941,14.221,4.719,2,0.75,8
B3 LM,NOLAN,2970.5,15.586,0.548,1.257,13.538,4.656,2,0.667,8
B3 LM,NOLAN,2971,15,0.574,1.316,12.112,4.336,2,0.583,8
B3 LM,NOLAN,2971.5,13.617,0.596,1.367,11.133,4.441,2,0.5,8
B3 LM,NOLAN,2972,16.25,0.624,0.521,9.831,4.547,2,0.417,8
B3 LM,NOLAN,2972.5,18.781,0.626,-0.205,8.994,4.711,2,0.333,8
B3 LM,NOLAN,2973,23.219,0.602,-0.073,7.641,4.582,2,0.25,8
B3 LM,NOLAN,2973.5,28.328,0.565,2.51,8.281,3.936,2,0.167,8
B3 LM,NOLAN,2974,45.063,0.533,4.381,11.293,3.328,2,0.083,8
B4 SH,NOLAN,2974.5,65.125,0.523,5.516,14.943,2.809,1,1,2
B4 SH,NOLAN,2975,83.938,0.526,3.957,16.355,2.709,1,0.958,2
B4 SH,NOLAN,2975.5,82.563,0.515,2.854,14.334,2.936,1,0.917,2
B4 SH,NOLAN,2976,75.5,0.493,1.497,11.491,3.275,1,0.875,2
B4 SH,NOLAN,2976.5,66,0.473,1.604,9.773,3.52,1,0.833,2
B4 SH,NOLAN,2977,67.313,0.473,1.75,9.236,3.4,1,0.792,2
B4 SH,NOLAN,2977.5,71.5,0.507,1.75,9.236,3.4,1,0.75,2
B4 SH,NOLAN,2978,81.25,0.564,2.996,10.481,3.316,1,0.708,2
B4 SH,NOLAN,2978.5,90.375,0.614,4.566,11.596,3.147,1,0.667,2
B4 SH,NOLAN,2979,92.813,0.646,5.413,12.898,3.184,1,0.625,2
B4 SH,NOLAN,2979.5,87.125,0.66,4.698,12.294,3.109,1,0.583,2
B4 SH,NOLAN,2980,77.563,0.658,2.914,10.856,3.238,1,0.542,2
B4 SH,NOLAN,2980.5,73.375,0.655,1.93,8.959,3.336,1,0.5,2
B4 SH,NOLAN,2981,73.438,0.663,1.241,8.036,3.371,1,0.458,2
B4 SH,NOLAN,2981.5,75.25,0.664,1.355,7.922,3.289,1,0.417,2
B4 SH,NOLAN,2982,76.938,0.651,1.622,8.534,3.127,1,0.375,2
B4 SH,NOLAN,2982.5,80.188,0.611,1.913,9.171,3.106,1,0.333,2
B4 SH,NOLAN,2983,88.5,0.564,1.97,9.456,3.275,1,0.292,2
B4 SH,NOLAN,2983.5,98.5,0.526,1.98,10.032,3.277,1,0.25,2
B4 SH,NOLAN,2984,107.125,0.519,4.313,13.167,3.26,1,0.208,2
B4 SH,NOLAN,2984.5,108.75,0.535,6.545,20.311,2.822,1,0.167,2
B4 SH,NOLAN,2985,94.563,0.549,9.423,25.587,2.816,1,0.125,3
B4 LM,NOLAN,2985.5,66.813,0.567,6.296,23.489,3.065,1,0.083,5
B4 LM,NOLAN,2986,38.781,0.588,1.993,17.245,4.199,1,0.042,8
B4 LM,NOLAN,2986.5,21.016,0.611,-0.483,11.225,5.238,2,1,8
B4 LM,NOLAN,2987,17.484,0.665,0.898,6.67,5.551,2,0.9,8
B4 LM,NOLAN,2987.5,16.234,0.753,-0.429,6.483,5.336,2,0.8,8
B4 LM,NOLAN,2988,16.672,0.832,-0.616,6.524,5.586,2,0.7,8
B4 LM,NOLAN,2988.5,20.172,0.903,1.022,6.449,4.809,2,0.6,8
B4 LM,NOLAN,2989,26.953,0.949,2.365,7.108,4.602,2,0.5,4
B4 LM,NOLAN,2989.5,37.594,0.931,2.837,7.124,4.586,2,0.4,5
B4 LM,NOLAN,2990,41.188,0.838,2.13,6.756,5.32,2,0.3,5
B4 LM,NOLAN,2990.5,43.531,0.684,1.667,5.608,5.254,2,0.2,5
B4 LM,NOLAN,2991,42.594,0.524,2.746,8.29,3.469,2,0.1,6
B4 LM,NOLAN,2991.5,54.031,0.385,3.715,15.084,2.94,1,1,6
B5 SH,NOLAN,2992,69.5,0.269,6.086,22.478,2.617,1,0.875,3
B5 SH,NOLAN,2992.5,74.625,0.182,6.257,24.017,2.855,1,0.75,3
B5 SH,NOLAN,2993,63.75,0.114,7.445,23.609,2.914,1,0.625,3
B5 SH,NOLAN,2993.5,49.469,0.056,9.376,23.827,2.998,1,0.5,3
B5 SH,NOLAN,2994,47.656,0.012,9.334,24.357,3.092,1,0.375,3
B5 SH,NOLAN,2994.5,49.375,-0.013,8.292,23.544,3.191,1,0.25,3
B5 LM,NOLAN,2995,48.031,-0.019,5.381,20.059,3.592,1,0.125,4
B5 LM,NOLAN,2995.5,43.25,-0.012,3.818,17.813,4.191,2,1,8
B5 LM,NOLAN,2996,35.844,0.014,2.117,17.024,4.93,2,0.972,8
B5 LM,NOLAN,2996.5,28.859,0.046,1.619,17.326,5.102,2,0.944,8
B5 LM,NOLAN,2997,22.609,0.077,1.674,17.955,5.156,2,0.917,8
B5 LM,NOLAN,2997.5,22.188,0.098,1.674,17.955,5.156,2,0.889,8
B5 LM,NOLAN,2998,22.266,0.102,0.886,17.962,5.254,2,0.861,8
B5 LM,NOLAN,2998.5,30.328,0.098,0.404,18.053,5.102,2,0.833,8
B5 LM,NOLAN,2999,35.313,0.1,0.103,17.524,4.805,2,0.806,8
B5 LM,NOLAN,2999.5,46.313,0.118,0.657,17.166,4.613,2,0.778,8
B5 LM,NOLAN,3000,56.594,0.152,0.772,17.392,5.074,2,0.75,8
B5 LM,NOLAN,3000.5,64.938,0.192,0.79,16.153,6.371,2,0.722,8
B5 LM,NOLAN,3001,65,0.225,1.096,13.26,8.063,2,0.694,8
B5 LM,NOLAN,3001.5,66.438,0.249,2.656,9.112,7.172,2,0.667,8
B5 LM,NOLAN,3002,80.5,0.265,4.468,7.153,6.094,2,0.639,8
B5 LM,NOLAN,3002.5,93.313,0.282,5.942,8.17,5.77,2,0.611,8
B5 LM,NOLAN,3003,103.125,0.295,5.154,11.154,5.332,2,0.583,8
B5 LM,NOLAN,3003.5,114.25,0.281,4.109,14.104,5.07,2,0.556,8
B5 LM,NOLAN,3004,131.625,0.252,2.51,15.703,5.094,2,0.528,8
B5 LM,NOLAN,3004.5,141.75,0.22,1.815,16.154,5.465,2,0.5,8
B5 LM,NOLAN,3005,129.5,0.192,1.351,15.69,5.82,2,0.472,8
B5 LM,NOLAN,3005.5,120.25,0.176,1.303,15.982,5.324,2,0.444,8
B5 LM,NOLAN,3006,106.625,0.172,2.035,16.374,5.129,2,0.417,8
B5 LM,NOLAN,3006.5,105,0.18,2.762,16.867,4.633,2,0.389,8
B5 LM,NOLAN,3007,97.438,0.194,2.51,16.387,4.77,2,0.361,8
B5 LM,NOLAN,3007.5,97.688,0.215,1.906,15.672,4.754,2,0.333,8
B5 LM,NOLAN,3008,105.875,0.243,1.906,15.672,4.754,2,0.306,5
B5 LM,NOLAN,3008.5,135.625,0.279,1.313,15.191,5.074,2,0.278,5
B5 LM,NOLAN,3009,164.25,0.323,1.41,14.264,4.984,2,0.25,5
B5 LM,NOLAN,3009.5,168.375,0.376,1.364,13.528,4.836,2,0.222,5
B5 LM,NOLAN,3010,137.875,0.434,0.981,12.349,4.977,2,0.194,8
B5 LM,NOLAN,3010.5,98.188,0.484,0.99,12.242,5.039,2,0.167,8
B5 LM,NOLAN,3011,79.188,0.519,0.655,11.796,5.141,2,0.139,8
